"date","close","open","high","low","volume","sma"
"25.01.2019",342.88,344.33,347.51,339.09,"469.31K",243.14987
"24.01.2019",339.15,331.07,339.83,330,"456.26K",243.02052
"23.01.2019",328.88,334.79,337.06,322.82,"420.52K",242.89568
"22.01.2019",330.86,340.99,342.38,324.12,"622.21K",242.78386
"18.01.2019",350.66,347.07,353.97,341.12,"475.91K",242.66918
"17.01.2019",342.23,341.26,346.29,335.11,"388.10K",242.52838
"16.01.2019",344.92,340,349.61,336.47,"643.61K",242.39822
"15.01.2019",350.1,341.19,350.99,341.19,"513.22K",242.26421
"14.01.2019",339.77,340.7,346.57,337,"400.68K",242.12306
"11.01.2019",344.95,337.49,348.46,333.86,"431.94K",241.99509
"10.01.2019",339.59,336.09,343.99,331,"620.41K",241.85997
"09.01.2019",339.96,333.1,347.79,330.55,"590.49K",241.73155
"08.01.2019",328.49,334.17,334.99,317.74,"500.93K",241.6023
"07.01.2019",328.94,315.73,330.89,315.73,"467.74K",241.48783
"04.01.2019",315.33,301.67,317.97,301.01,"606.57K",241.37245
"03.01.2019",296.59,295.08,300.5,289.14,"564.33K",241.27476
"02.01.2019",298.01,285.61,298.87,282.88,"349.03K",241.20159
"31.12.2018",292.85,295,298.32,285.11,"390.32K",241.12634
"28.12.2018",292.09,291.89,299.81,282.44,"735.62K",241.05775
"27.12.2018",289.1,274.17,290.29,272.61,"579.30K",240.98997
"26.12.2018",281.81,261.23,283.91,260.42,"1.03M",240.926
"24.12.2018",257.52,281.92,284.44,257.52,"1.01M",240.87156
"21.12.2018",286.56,308.1,315.64,285.58,"1.42M",240.84936
"20.12.2018",306.4,311.52,319.02,304.1,"489.52K",240.78833
"19.12.2018",312.39,312.78,330.85,309.3,"747.85K",240.70061
"18.12.2018",310.83,312.9,320.16,307.42,"454.89K",240.60465
"17.12.2018",310.49,324.79,324.87,309.74,"535.05K",240.51051
"14.12.2018",326.52,329,337.33,324.13,"497.45K",240.41658
"13.12.2018",333.51,360.1,361,333.33,"721.48K",240.30085
"12.12.2018",361.36,359.65,366.12,354.93,"487.77K",240.1754
"11.12.2018",355.24,361,364.94,351.68,"591.68K",240.01208
"10.12.2018",353.52,345.02,357.52,342.49,"446.88K",239.85657
"07.12.2018",346.56,349.5,357.91,341.65,"389.97K",239.70297
"06.12.2018",350.56,344.02,350.89,340.26,"600.83K",239.55838
"04.12.2018",354.85,369,373.92,351.06,"718.80K",239.40797
"03.12.2018",369.51,360.91,374.84,359,"788.91K",239.25133
"30.11.2018",351.97,359.34,362.03,351.71,"915.36K",239.07435
"29.11.2018",357.99,343.52,359.38,342,"616.41K",238.92075
"28.11.2018",345.78,335,346.02,326.86,"658.52K",238.75853
"27.11.2018",331.72,320.32,332.01,314.21,"391.10K",238.61252
"26.11.2018",322.18,316.79,323.68,314.12,"644.25K",238.48533
"23.11.2018",309.82,314.08,321.16,308.53,"480.02K",238.37083
"21.11.2018",319,319,321.99,312.51,"692.05K",238.27296
"20.11.2018",313.79,327.33,332.3,312.03,"1.14M",238.16222
"19.11.2018",335.39,341.16,343.94,333.26,"519.79K",238.05834
"16.11.2018",344.61,336.39,347.59,331.81,"450.41K",237.92446
"15.11.2018",340.77,336.96,344.61,331.55,"624.72K",237.77751
"14.11.2018",336.86,339,341,329.3,"614.82K",237.63545
"13.11.2018",327.94,323.71,330.57,321.46,"396.38K",237.4984
"12.11.2018",322,325.69,328.35,318.41,"596.34K",237.37331
"09.11.2018",325.69,326.93,328.93,318.44,"427.95K",237.25609
"08.11.2018",331.47,347.51,348.43,327.58,"568.31K",237.13344
"07.11.2018",349.56,340,349.91,329.53,"549.20K",237.00242
"06.11.2018",336.19,352.76,356.36,335.24,"593.32K",236.84587
"05.11.2018",357.62,353.59,360.49,350.74,"386.47K",236.70751
"02.11.2018",354.39,348,368.84,346.37,"1.36M",236.53887
"01.11.2018",341.65,330.89,343.44,320.06,"846.26K",236.37427
"31.10.2018",324.5,315.07,329.51,315,"1.04M",236.22703
"30.10.2018",310.41,286.68,312.8,285.1,"868.62K",236.1034
"29.10.2018",287.34,300.98,304.5,281.3,"956.25K",235.99919
"26.10.2018",295.37,295.71,302.88,287.28,"725.30K",235.92708
"25.10.2018",297.59,296.17,302.2,291,"601.77K",235.84347
"24.10.2018",291.4,306.76,309.45,291.07,"490.79K",235.75651
"23.10.2018",306.86,303.02,309.38,295.6,"505.61K",235.67803
"22.10.2018",313.56,305.99,318.14,301.95,"580.95K",235.57749
"19.10.2018",301.87,300.92,312.13,298.78,"418.44K",235.46719
"18.10.2018",298.76,313.18,317.25,297,"499.10K",235.37313
"17.10.2018",313.37,307.91,319.03,304.69,"536.87K",235.28322
"16.10.2018",308.6,297.2,309.3,296.01,"1.24M",235.1723
"15.10.2018",294.75,303.28,303.28,291.5,"1.29M",235.06785
"12.10.2018",303.42,311.94,314.21,295.4,"1.35M",234.98283
"11.10.2018",304.86,314.72,320.75,298.07,"944.96K",234.88521
"10.10.2018",319.07,336.39,338.71,314.53,"835.23K",234.78524
"09.10.2018",340.06,337.47,341.5,333.87,"495.84K",234.66466
"08.10.2018",339.5,348.94,351.41,327.51,"1.11M",234.51367
"05.10.2018",335.64,340.62,349.94,330.29,"635.27K",234.36304
"04.10.2018",339.46,351.75,352,332.16,"595.69K",234.21753
"03.10.2018",354.1,356.56,362.33,350.26,"716.75K",234.0661
"02.10.2018",353.9,334.59,354.49,332.82,"1.05M",233.89314
"01.10.2018",332.49,343.84,353.11,331.74,"882.80K",233.71997
"28.09.2018",340.47,337.74,344.65,336.53,"487.26K",233.57724
"27.09.2018",340.08,333.31,346.1,325.09,"1.02M",233.42255
"26.09.2018",330.75,320.73,337.5,320,"949.68K",233.26797
